Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,종목명,Ticker,변화율(%),5일이평,20일이평,60일이평,RSI,Log_Return,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_High,Donchian_Low,Momentum_10,Cumulative_Return,한국은행 기준금리,콜금리(익일물),예금은행 수신금리,예금은행 대출금리,가계신용,"M2(광의통화, 평잔)",실업률,소비자물가지수,농산물 및 석유류제외 소비자물가지수,UpdatedAt
2019-02-22,39025.34381627783,39570.859375,38983.381080991516,39570.859375,6895772,0.0,0.0,삼성전자,005930.KS,0.4259966299761553,39134.4453125,38362.3310546875,36923.8283203125,67.46433888134818,0.004250918330252776,38781.951121984166,37597.83581178564,1184.1153101985255,1259.6229250601475,-75.50761486162196,38362.3310546875,40604.16190992086,36120.50019945414,11.687667530096205,39864.6015625,35248.69140625,1972.25,21.67740007456691,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-25,39780.669763067584,39906.55795852033,39486.93064034451,39738.70703125,7484716,0.0,0.0,삼성전자,005930.KS,0.42416985352620173,39327.47265625,38586.8318359375,36923.8283203125,68.36805477956165,0.004232727890264727,38929.14433879429,37756.41886507929,1172.7254737149997,1242.243434791118,-69.51796107611835,38586.8318359375,40367.678676150674,36805.98499572432,9.23033457519879,39864.6015625,36129.91015625,1972.24609375,22.193518924237708,1.5,1.77,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-26,39738.71301387032,39822.63849014037,39025.34646557487,39235.16015625,7985547,0.0,0.0,삼성전자,005930.KS,-1.2671445867728393,39461.75625,38742.0943359375,36923.8283203125,62.73800424627455,-0.012752413348460105,38976.22369532594,37865.955257017864,1110.2684383080777,1215.84843549451,-105.57999718643237,38742.0943359375,40115.98317439553,37368.205497479474,7.092486154955215,39864.6015625,37556.640625,587.4765625,20.64515036380199,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-27,39444.97384692513,39654.78753760027,39235.16015625,39235.16015625,8045211,0.0,0.0,삼성전자,005930.KS,0.0,39436.578125,38826.0203125,36923.8283203125,62.73800424627455,0.0,39016.06007392964,37967.37784214617,1048.682231783474,1182.415194752303,-133.73296296882904,38826.0203125,40096.155164738215,37555.88546026178,6.542699159044632,39864.6015625,37598.609375,461.58984375,20.64515036380199,1.5,1.77,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-28,38941.41782150776,39025.34329095067,37850.38671875,37850.38671875,23569321,0.0,0.0,삼성전자,005930.KS,-3.529419612371354,39126.0546875,38828.11875,36923.8283203125,49.687806785434134,-0.03593209057381849,38836.725711594314,37958.71183300571,878.0138785886011,1121.5349315195626,-243.52105293096156,38828.11875,40091.294396333906,37564.9431036661,6.50649934634757,39864.6015625,37598.609375,-2014.21484375,16.387076765487052,1.5,1.8,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-03-04,38605.71314102564,38689.638604375694,37598.60758082497,37640.5703125,12926539,0.0,0.0,삼성전자,005930.KS,-0.5543309446454425,38739.996875,38800.84296875,36923.8283203125,48.056687876944615,-0.005558730602160043,38652.70180404134,37935.14579444973,717.556009591608,1040.7391471339718,-323.18313754236374,38800.84296875,40143.452069153405,37458.2338683466,6.920515110894539,39864.6015625,37598.609375,-1007.11328125,15.741907183407712,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-03-05,37430.75866878531,37850.386008121466,37053.09406338277,37137.01953125,10612405,0.0,0.0,삼성전자,005930.KS,-1.3377873317790168,38219.659375,38710.6234375,36923.8283203125,44.29822206576061,-0.013468163227204524,38419.51991591959,37876.02533050901,543.4945854105827,941.290234789294,-397.79564937871135,38710.6234375,40242.60558690142,37178.64128809857,7.915047670957185,39864.6015625,37137.01953125,-1636.55078125,14.193526611548645,1.5,1.77,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-03-06,36927.2109375,37178.987375710225,36675.43449928977,36927.2109375,10202544,0.0,0.0,삼성전자,005930.KS,-0.5649580833309797,37758.06953125,38620.404296875,36923.8283203125,42.79636589685494,-0.005665600078276775,38189.93391923966,37805.74278287871,384.191136360947,829.8704151036247,-445.67927874267775,38620.404296875,40347.30811148533,36893.50048226467,8.942960831459034,39864.6015625,36927.2109375,-1636.53125,13.548381052315994,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-03-07,36423.65748031496,37724.50239032621,36423.65748031496,37304.875,11049749,0.0,0.0,삼성전자,005930.KS,1.0227256619494085,37372.0125,38540.6748046875,36923.8283203125,46.324043669664164,0.010175312096944528,38053.7710085874,37768.64146562843,285.12954295896634,720.9222406746931,-435.7926977157267,38540.6748046875,40358.19430762922,36723.15530174578,9.43169527857186,39864.6015625,36927.2109375,-2056.17578125,14.709669484066135,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-03-08,37304.867053724316,37598.60616438356,36759.3515625,36759.3515625,7729069,0.0,0.0,삼성전자,005930.KS,-1.4623381997661111,37153.80546875,38439.9638671875,36923.8283203125,42.2691349219016,-0.014731357586577752,37854.629555343185,37693.87925058188,160.75030476130632,608.8878534920157,-448.13754873070934,38439.9638671875,40419.17475454054,36460.75297983446,10.297672985288624,39864.6015625,36759.3515625,-2643.65234375,13.03222616837516,1.5,1.78,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
